가까이	Antonym	멀리
가끔	Antonym	자주
가난	Antonym	부유
가난하다	Antonym	부유하다
가늘다	Antonym	두껍다
검다	Antonym	희다
그녀들	Antonym	그들
길다	Antonym	짧다
까맣다	Antonym	하얗다
깨어나다	Antonym	잠들다
끄다	Antonym	켜다
나쁘다	Antonym	좋다
남	Antonym	여
남극	Antonym	북극
남동생	Antonym	여동생
남성	Antonym	여성
남자	Antonym	여자
남자친구	Antonym	여자친구
남장	Antonym	여장
낮	Antonym	밤
낮다	Antonym	높다
내	Antonym	외
네	Antonym	아뇨
네	Antonym	아니
네	Antonym	아니야
네	Antonym	아니요
높다	Antonym	낮다
누이	Antonym	누나
다음	Antonym	앞
다음	Antonym	처음
닫다	Antonym	열다
대	Antonym	소
대문자	Antonym	소문자
동성	Antonym	이성
동성애자	Antonym	이성애자
두껍다	Antonym	가늘다
두껍다	Antonym	얇다
디지털	Antonym	아날로그
딱딱하다	Antonym	부드럽다
뜨겁다	Antonym	차갑다
뜨겁다	Antonym	차다
로그아웃	Antonym	로그인
로그인	Antonym	로그아웃
말	Antonym	초
맛없다	Antonym	맛있다
맛있다	Antonym	맛없다
모르다	Antonym	알다
무	Antonym	유
무리수	Antonym	유리수
믿다	Antonym	불신하다
밖	Antonym	안
반각	Antonym	전각
반각글자	Antonym	전각글자
반각글자	Antonym	전각문자
반각문자	Antonym	전각글자
반각문자	Antonym	전각문자
밤	Antonym	낮
배고프다	Antonym	배부르다
벗다	Antonym	입다
부드럽다	Antonym	딱딱하다
부인	Antonym	시인
북극	Antonym	남극
분의	Antonym	나누기
불신하다	Antonym	믿다
빠르다	Antonym	느리다
빠르다	Antonym	늦다
살다	Antonym	죽다
삶	Antonym	죽음
성인	Antonym	미성년자
소문자	Antonym	대문자
소수	Antonym	다수
수	Antonym	암
수소	Antonym	암소
수컷	Antonym	암컷
수탉	Antonym	암탉
실수	Antonym	성공
실수	Antonym	허수
싫다	Antonym	좋다
싫어하다	Antonym	좋아하다
싸다	Antonym	비싸다
아날로그	Antonym	디지털
아뇨	Antonym	네
아뇨	Antonym	예
아니	Antonym	네
아니	Antonym	예
아니다	Antonym	이다
아니요	Antonym	네
아니요	Antonym	예
아이스	Antonym	핫
아직	Antonym	벌써
아직	Antonym	이미
안	Antonym	밖
알다	Antonym	모르다
암	Antonym	수
암소	Antonym	수소
암캐	Antonym	수캐
암컷	Antonym	수컷
암탉	Antonym	수탉
양	Antonym	음
양수	Antonym	음수
어른	Antonym	어린이
어린이	Antonym	어른
없다	Antonym	있다
여동생	Antonym	남동생
여성	Antonym	남성
여자	Antonym	남자
여자친구	Antonym	남자친구
여장	Antonym	남장
역지사지	Antonym	아전인수
열	Antonym	행
열다	Antonym	닫다
예	Antonym	아뇨
예	Antonym	아니야
예	Antonym	아니요
오른	Antonym	왼
오른쪽	Antonym	왼쪽
오전	Antonym	오후
오후	Antonym	오전
왼	Antonym	오른
왼쪽	Antonym	오른쪽
용언	Antonym	체언
유리수	Antonym	무리수
음	Antonym	양
음성모음	Antonym	양성모음
음수	Antonym	양수
이다	Antonym	아니다
이미	Antonym	아직
이성	Antonym	동성
이성애자	Antonym	동성애자
입구	Antonym	출구
입다	Antonym	벗다
있다	Antonym	없다
자주	Antonym	가끔
잘되다	Antonym	안되다
재미없다	Antonym	재미있다
재미있다	Antonym	재미없다
재밌다	Antonym	재미없다
적은	Antonym	많은
전각	Antonym	반각
전각글자	Antonym	반각글자
전각글자	Antonym	반각문자
전각문자	Antonym	반각글자
전각문자	Antonym	반각문자
전자	Antonym	후자
접두사	Antonym	접미사
접두사	Antonym	접미어
접두어	Antonym	접미사
접두어	Antonym	접미어
접미사	Antonym	접두사
접미사	Antonym	접두어
접미어	Antonym	접두사
접미어	Antonym	접두어
정맥	Antonym	동맥
정오	Antonym	자정
좋다	Antonym	나쁘다
좋다	Antonym	싫다
좋아하다	Antonym	싫어하다
짝수	Antonym	홀수
짧다	Antonym	길다
참	Antonym	거짓
체언	Antonym	용언
출구	Antonym	입구
켜다	Antonym	끄다
키다	Antonym	끄다
포화_지방산	Antonym	불포화_지방산
하얗다	Antonym	까맣다
한겨울	Antonym	한여름
한여름	Antonym	한겨울
핫	Antonym	아이스
허수	Antonym	실수
홀	Antonym	짝
홀수	Antonym	짝수
후배	Antonym	선배
후자	Antonym	전자
흑	Antonym	백
희다	Antonym	검다
가락지빵	DerivedFrom	가락지
가락지빵	DerivedFrom	빵
가소롭다	DerivedFrom	롭다
가위바위보	DerivedFrom	가위
각각	DerivedFrom	각
각국	DerivedFrom	각
각도	DerivedFrom	각
각양각색	DerivedFrom	각
각자	DerivedFrom	각
각종	DerivedFrom	각
간곡히_부탁하다	DerivedFrom	간곡한_부탁
감미롭다	DerivedFrom	롭다
감사하는	DerivedFrom	감사하다
갑골	DerivedFrom	갑
갑론	DerivedFrom	갑
갑부	DerivedFrom	갑
갑상선	DerivedFrom	갑
갑상어알	DerivedFrom	갑
갑옷	DerivedFrom	갑
갑충	DerivedFrom	갑
갑판	DerivedFrom	갑
강력하다	DerivedFrom	강력
강추	DerivedFrom	추천
개소주	DerivedFrom	개
개저씨	DerivedFrom	개
개저씨	DerivedFrom	아저씨
개한민국	DerivedFrom	개
개한민국	DerivedFrom	대한민국
거미강	DerivedFrom	거미
검은목논병아리	DerivedFrom	논병아리
게장	DerivedFrom	게
게장	DerivedFrom	장
경이롭다	DerivedFrom	롭다
고대_그리스어	DerivedFrom	그리스어
고마워요	DerivedFrom	고마워
고양이고래	DerivedFrom	고래
고양이고래	DerivedFrom	고양이
곳곳	DerivedFrom	곳
곳곳이	DerivedFrom	곳
과학기술	DerivedFrom	과학
과학기술	DerivedFrom	기술
광검	DerivedFrom	검
광검	DerivedFrom	광
괴롭다	DerivedFrom	롭다
국뽕	DerivedFrom	국가
국뽕	DerivedFrom	히로뽕
군소리	DerivedFrom	소리
귀갑	DerivedFrom	갑
귀뿔논병아리	DerivedFrom	논병아리
그거	DerivedFrom	거
그래서	DerivedFrom	그래
글램핑	DerivedFrom	글래머
글램핑	DerivedFrom	캠핑
김밥	DerivedFrom	김
김밥	DerivedFrom	밥
까다롭다	DerivedFrom	롭다
깨뜨리다	DerivedFrom	뜨리다
깨어나다	DerivedFrom	나다
꺼져	DerivedFrom	꺼지다
꼬리표	DerivedFrom	꼬리
꼬리표	DerivedFrom	표
끓다	DerivedFrom	부레
나근나근	DerivedFrom	나근
나오다	DerivedFrom	나다
나타나다	DerivedFrom	나다
날다람쥐	DerivedFrom	다람쥐
날카롭다	DerivedFrom	롭다
낱말	DerivedFrom	말
넘어뜨리다	DerivedFrom	뜨리다
네모	DerivedFrom	모
넷째	DerivedFrom	넷
노랑부리저어새	DerivedFrom	저어새
놀이	DerivedFrom	터
누그러뜨리다	DerivedFrom	뜨리다
누난_증후군	DerivedFrom	누난
눈보라	DerivedFrom	눈
눈보라	DerivedFrom	보라
눈알	DerivedFrom	알
늘어뜨리다	DerivedFrom	뜨리다
다각	DerivedFrom	각
다섯째	DerivedFrom	다섯
다음가다	DerivedFrom	다음
다음날	DerivedFrom	다음
다음달	DerivedFrom	다음
다음부터	DerivedFrom	다음
다음에	DerivedFrom	다음
다음해	DerivedFrom	다음
달걀	DerivedFrom	알
닿소리	DerivedFrom	소리
더듬이다리	DerivedFrom	다리
더듬이다리	DerivedFrom	더듬이
덴마크어	DerivedFrom	덴마크
덴마크어	DerivedFrom	어
독일말	DerivedFrom	독일
독일어	DerivedFrom	독일
독일인	DerivedFrom	독일
둘째	DerivedFrom	둘
득템	DerivedFrom	득
득템	DerivedFrom	아이템
딱지	DerivedFrom	벌레
떡볶이	DerivedFrom	떡
떡볶이	DerivedFrom	볶이
떨어뜨리다	DerivedFrom	뜨리다
똥침	DerivedFrom	똥
똥침	DerivedFrom	침
래	DerivedFrom	라고
래	DerivedFrom	해
만화가	DerivedFrom	가
만화가	DerivedFrom	만화
말씀	DerivedFrom	말
매일	DerivedFrom	매
멍멍개	DerivedFrom	멍멍
멍멍이	DerivedFrom	멍멍
메서드_연기	DerivedFrom	메서드
메서드_연기	DerivedFrom	연기
메소드_연기	DerivedFrom	메소드
메소드_연기	DerivedFrom	연기
메추라기찜	DerivedFrom	메추라기
멧박쥐	DerivedFrom	멧
멧박쥐	DerivedFrom	박쥐
명예롭다	DerivedFrom	롭다
목걸이	DerivedFrom	걸이
목걸이	DerivedFrom	목
목구멍	DerivedFrom	목
목덜미	DerivedFrom	목
목소리	DerivedFrom	목
목소리	DerivedFrom	소리
목청	DerivedFrom	목
무너뜨리다	DerivedFrom	뜨리다
물고기	DerivedFrom	고기
물고기	DerivedFrom	물
물고기알	DerivedFrom	알
물레	DerivedFrom	바퀴
물레바퀴	DerivedFrom	물레
물레방아	DerivedFrom	물레
미륵보살	DerivedFrom	미륵
미륵보살	DerivedFrom	미륵
미륵보살	DerivedFrom	보살
밀알	DerivedFrom	알
바닷가	DerivedFrom	바다
바퀴	DerivedFrom	벌레
바퀴	DerivedFrom	체
박쥐	DerivedFrom	밝다
박쥐	DerivedFrom	쥐
반이상향	DerivedFrom	이상향
밝쥐	DerivedFrom	밝다
밝쥐	DerivedFrom	쥐
밤알	DerivedFrom	알
방문	DerivedFrom	방
방문객	DerivedFrom	방문
방문하다	DerivedFrom	방문
방석집	DerivedFrom	방석
방석집	DerivedFrom	집
밴댕이구이	DerivedFrom	밴댕이
밴댕이젓	DerivedFrom	밴댕이
밴댕이찌개	DerivedFrom	밴댕이
번거롭다	DerivedFrom	롭다
보기	DerivedFrom	보다
보이다	DerivedFrom	보다
부대찌개	DerivedFrom	부대
부대찌개	DerivedFrom	찌개
부러뜨리다	DerivedFrom	뜨리다
부정하다	DerivedFrom	부정
부지런하다	DerivedFrom	부지런
북극곰	DerivedFrom	곰
북극곰	DerivedFrom	북극
불	DerivedFrom	장작
불	DerivedFrom	체
불고기	DerivedFrom	고기
불고기	DerivedFrom	불
불교도	DerivedFrom	불교
불닭	DerivedFrom	닭
불닭	DerivedFrom	불
불알	DerivedFrom	알
비닐봉투	DerivedFrom	봉투
빈	DerivedFrom	터
빨래	DerivedFrom	터
뿔논병아리	DerivedFrom	논병아리
사각	DerivedFrom	각
사과나무	DerivedFrom	사과
사과하다	DerivedFrom	사과
사냥개	DerivedFrom	개
사냥개	DerivedFrom	사냥
사타구니	DerivedFrom	샅
사타구니	DerivedFrom	아귀
사타구니	DerivedFrom	어귀
사회학	DerivedFrom	사회
삼각	DerivedFrom	각
새롭다	DerivedFrom	롭다
새알	DerivedFrom	알
새우젓	DerivedFrom	새우
새우젓	DerivedFrom	젓
샘	DerivedFrom	터
서양자두	DerivedFrom	서양
서양자두	DerivedFrom	자두
석류꽃	DerivedFrom	석류
석류나무	DerivedFrom	석류
석류석	DerivedFrom	석류
석류피	DerivedFrom	석류
설날	DerivedFrom	날
설날	DerivedFrom	설
세모	DerivedFrom	모
셋째	DerivedFrom	셋
소매치기	DerivedFrom	소매
소매치기	DerivedFrom	치다
수레	DerivedFrom	바퀴
수말	DerivedFrom	말
숟가락	DerivedFrom	가락
숟가락	DerivedFrom	술
스웨덴어	DerivedFrom	스웨덴
스웨덴어	DerivedFrom	스웨덴
슬기롭다	DerivedFrom	롭다
슬픔	DerivedFrom	슬프다
